team1_avg_goals,team2_avg_goals,team1_win_rate,team2_win_rate,head_to_head_team1_wins,head_to_head_team2_wins,home_wins,away_wins,home_losses,away_losses,home_matches,away_matches,home_advantage,away_advantage,home_draws,away_draws,home_goals_conceded,away_goals_conceded,home_goals_scored,away_goals_scored,home_goal_diff,away_goal_diff,stage_importance,venue_advantage,outcome
2.4,2.0,0.4,0.8,1,0,2,4,2,1,5,5,0.0,0.6000000000000001,1,0,14,6,12,10,-2,4,0.5,1.0,1
1.4,2.4,0.6,0.6,1,0,3,3,2,1,5,5,0.19999999999999996,0.39999999999999997,0,1,6,11,7,12,1,1,0.5,1.0,0
2.0,0.6,0.6,0.2,0,2,3,1,1,4,5,5,0.39999999999999997,-0.6000000000000001,1,0,7,10,10,3,3,-7,0.5,1.0,0
2.2,1.0,0.8,0.2,0,1,4,1,1,2,5,5,0.6000000000000001,-0.2,0,2,6,7,11,5,5,-2,0.5,1.0,0
3.2,1.2,0.4,0.4,1,1,2,2,2,1,5,5,0.0,0.2,1,2,8,6,16,6,8,0,0.5,1.0,2
2.4,0.8,0.6,0.0,0,1,3,0,2,4,5,5,0.19999999999999996,-0.8,0,1,6,13,12,4,6,-9,0.5,1.0,0
2.8,0.2,0.8,0.2,1,1,4,1,1,4,5,5,0.6000000000000001,-0.6000000000000001,0,0,4,11,14,1,10,-10,0.5,1.0,1
2.8,2.0,0.8,0.2,1,2,4,1,1,3,5,5,0.6000000000000001,-0.39999999999999997,0,1,7,13,14,10,7,-3,0.5,1.0,1
2.0,0.8,0.6,0.4,3,0,3,2,2,1,5,5,0.19999999999999996,0.2,0,2,9,3,10,4,1,1,0.5,1.0,1
1.6,1.4,0.6,0.4,1,1,3,2,1,2,5,5,0.39999999999999997,0.0,1,1,6,6,8,7,2,1,0.7,1.0,2
3.4,3.4,1.0,1.0,1,0,5,5,0,0,5,5,1.0,1.0,0,0,6,4,17,17,11,13,0.7,1.0,1
2.0,2.6,0.6,0.8,1,1,3,4,2,1,5,5,0.19999999999999996,0.6000000000000001,0,0,8,3,10,13,2,10,0.7,1.0,2
1.8,2.6,0.4,0.6,0,0,2,3,2,1,5,5,0.0,0.39999999999999997,1,1,6,7,9,13,3,6,0.7,1.0,0
2.0,1.2,0.6,0.8,0,1,3,4,1,1,5,5,0.39999999999999997,0.6000000000000001,1,0,9,1,10,6,1,5,0.7,1.0,2
4.2,2.2,1.0,0.8,0,1,5,4,0,1,5,5,1.0,0.6000000000000001,0,0,3,4,21,11,18,7,0.7,1.0,2
2.2,1.8,0.6,0.6,1,0,3,3,1,2,5,5,0.39999999999999997,0.19999999999999996,1,0,7,6,11,9,4,3,0.7,1.0,1
2.0,3.6,0.4,0.8,0,2,2,4,1,0,5,5,0.2,0.8,2,1,8,10,10,18,2,8,0.7,1.0,2
2.8,2.0,0.8,0.4,1,2,4,2,0,2,5,5,0.8,0.0,1,1,8,9,14,10,6,1,0.7,1.0,1
1.6,3.6,0.8,0.8,0,2,4,4,1,1,5,5,0.6000000000000001,0.6000000000000001,0,0,4,4,8,18,4,14,0.7,1.0,2
1.4,1.2,0.8,0.4,1,1,4,2,1,2,5,5,0.6000000000000001,0.0,0,1,1,9,7,6,6,-3,0.7,1.0,1
1.8,1.8,0.6,0.6,1,1,3,3,2,1,5,5,0.19999999999999996,0.39999999999999997,0,1,5,6,9,9,4,3,0.7,1.0,2
2.6,1.6,0.6,0.4,0,1,3,2,1,1,5,5,0.39999999999999997,0.2,1,2,7,4,13,8,6,4,0.7,1.0,2
2.0,1.4,0.6,0.4,2,1,3,2,1,2,5,5,0.39999999999999997,0.0,1,1,6,8,10,7,4,-1,0.7,1.0,1
3.2,3.2,0.8,1.0,1,1,4,5,1,0,5,5,0.6000000000000001,1.0,0,0,5,5,16,16,11,11,0.7,1.0,2
4.0,2.2,1.0,0.6,1,1,5,3,0,2,5,5,1.0,0.19999999999999996,0,0,3,14,20,11,17,-3,0.7,1.0,0
3.4,3.0,0.8,1.0,1,0,4,5,0,0,5,5,0.8,1.0,1,0,4,7,17,15,13,8,0.8,1.0,1
